unamed,ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry
1092,KOD,"Kodiak Sciences, Inc.",1656424,68,Victor Perlroth,113371207,Health Care
985,AVXL,Anavex Life Sciences Corp.,753041,13,Christopher Missling,9417057,Health Care
987,AXSM,"Axsome Therapeutics, Inc.",690964,12,Herriot Tabuteau,8054631,Health Care
1984,BRT,BRT Apartments Corp.,649344,3,Jeffrey Gould,1991288,Real Estate
1163,PRTA,Prothena Corp. Plc,521645,9,Gene Kinney,4918363,Health Care
1094,KRTX,"Karuna Therapeutics, Inc.",511630,26,Steven Paul,13136960,Health Care
990,BBIO,"BridgeBio Pharma, Inc.",508054,50,Neil Kumar,25626959,Health Care
1122,MRTX,"Mirati Therapeutics, Inc.",489515,41,David Meek,20178130,Health Care
1054,GERN,Geron Corporation,460336,4,John Scarlett,2056987,Health Care
1107,MDGL,"Madrigal Pharmaceuticals, Inc.",459419,12,Paul Friedman,5318389,Health Care
1200,TCDA,"Tricida, Inc.",451246,10,Gerrit Klaerner,4676490,Health Care
1997,CTRE,"CareTrust REIT, Inc.",444120,15,Gregory Stapley,6727006,Real Estate
1199,TBPH,"Theravance Biopharma, Inc.",440558,10,Rick Winningham,4451942,Health Care
558,TELL,Tellurian Inc.,437214,19,Octavio Simoes,8411925,Energy
1925,NG,"NovaGold Resources, Inc.",435199,11,Gregory Lang,4748048,Materials
1754,OKTA,"Okta, Inc.",432502,74,Todd McKinnon,31820477,Information Technology
653,CIM,Chimera Investment Corporation,422925,28,Mohit Marria,11976596,Financials
975,ARCT,"Arcturus Therapeutics Holdings, Inc.",406110,2,Joseph Payne,960000,Health Care
1221,VIR,"Vir Biotechnology, Inc.",402518,51,George Scangos,20682638,Health Care
999,BPMC,Blueprint Medicines Corp.,396068,25,Jeffrey Albers,9713304,Health Care
1196,SWTX,"Springworks Therapeutics, Inc.",388744,45,Saqib Islam,17542057,Health Care
1717,LWLG,"Lightwave Logic, Inc.",375632,8,Michael Lebby,3073321,Information Technology
1178,RPRX,Royalty Pharma Plc,373719,132,Pablo Legorreta,49513461,Health Care
1082,IOVA,"Iovance Biotherapeutics, Inc.",373379,21,Frederick Vogt,7927153,Health Care
1032,DNLI,"Denali Therapeutics, Inc.",366661,35,Ryan Watts,12673479,Health Care
806,NLY,"Annaly Capital Management, Inc.",365000,25,David Finkelstein,9138764,Financials
1164,PRVB,"Provention Bio, Inc.",353182,4,Ashleigh Palmer,1566779,Health Care
677,DX,"Dynex Capital, Inc.",345975,13,Byron Boston,4476138,Financials
976,ARQT,"Arcutis Biotherapeutics, Inc.",342623,13,Todd Watanabe,4284123,Health Care
2052,NHI,"National Health Investors, Inc.",341618,8,Eric Mendelsohn,2567353,Real Estate
1227,VXRT,"Vaxart, Inc.",341394,7,Andrei Floroiu,2410175,Health Care
2011,EQC,Equity Commonwealth,334701,19,David Helfand,6274233,Real Estate
1095,KURA,"Kura Oncology, Inc.",334295,26,Troy Wilson,8743784,Health Care
836,PJT,"PJT Partners, Inc.",329000,3,Paul Taubman,1015000,Financials
958,ALEC,"Alector, Inc.",328335,29,Arnon Rosenthal,9612580,Health Care
1935,RGLD,"Royal Gold, Inc.",322057,17,William Heissenbuttel,5498830,Materials
974,APLS,"Apellis Pharmaceuticals, Inc.",321867,28,Cedric Francois,9122039,Health Care
676,DHIL,"Diamond Hill Investment Group, Inc.",321450,9,Heather Brilliant,3046174,Financials
771,LADR,Ladder Capital Corp.,320799,34,Brian Harris,10928909,Financials
957,AGIO,"Agios Pharmaceuticals, Inc.",315091,21,Jacqualyn Fouse,6519427,Health Care
1010,CHRS,"Coherus BioSciences, Inc.",314843,27,Dennis Lanfear,8594495,Health Care
1209,TVTX,"Travere Therapeutics, Inc.",309779,19,Eric Dube,5739010,Health Care
1180,SAGE,"SAGE Therapeutics, Inc.",308210,191,Barry Greene,58864150,Health Care
961,ALLO,"Allogene Therapeutics, Inc.",307290,33,David Chang,10161454,Health Care
1121,MRSN,"Mersana Therapeutics, Inc.",302642,27,Anna Protopapas,8277490,Health Care
46,MAX,"MediaAlpha, Inc.",301732,3,Steven Yi,1018780,Communication Services
3,ATEX,Anterix Inc.,300000,22,Robert Schwartz,6532403,Communication Services
1069,HZNP,Horizon Therapeutics Public Limited Company,298200,72,Timothy Walbert,21353458,Health Care
1074,IMGN,"ImmunoGen, Inc.",296859,25,Mark Enyedy,7440507,Health Care
1170,RCUS,"Arcus Biosciences, Inc.",296616,32,Terry Rosen,9480974,Health Care
32,GOOGL,Alphabet Inc.,295884,21,Sundar Pichai,6322599,Communication Services
582,AGO,Assured Guaranty Ltd.,294410,49,Dominic Frederico,14536062,Financials
1167,RARE,"Ultragenyx Pharmaceutical, Inc.",294092,32,Emil Kakkis,9522738,Health Care
48,META,"Meta Platforms, Inc.",292785,92,Mark Zuckerberg,26823061,Communication Services
1059,HALO,"Halozyme Therapeutics, Inc.",291734,26,Helen Torley,7453294,Health Care
2060,OLP,"One Liberty Properties, Inc.",291000,6,Patrick Callan Jr.,1808489,Real Estate
1050,FATE,"Fate Therapeutics, Inc.",290614,40,J. Wolchko,11728617,Health Care
1029,DCPH,"Deciphera Pharmaceuticals, Inc.",290520,32,Steven Hoerter,9414654,Health Care
977,ARVN,"Arvinas, Inc.",288956,44,John Houston,12601014,Health Care
1096,LGND,Ligand Pharmaceuticals Incorporated,286666,33,John Higgins,9587211,Health Care
732,GPMT,"Granite Point Mortgage Trust, Inc.",285996,17,John Taylor,4727154,Financials
60,PINS,"Pinterest, Inc.",284887,1,Benjamin Silbermann,199100,Communication Services
1049,EXEL,"Exelixis, Inc.",283758,27,Michael Morrissey,7530431,Health Care
1017,CORT,"Corcept Therapeutics, Inc.",282843,39,Joseph Belanoff,10984638,Health Care
780,MBI,MBIA Inc.,281580,14,William Fallon,4020800,Financials
581,AGNC,AGNC Investment Corp.,281305,25,Peter Federico,6949900,Financials
1230,XNCR,"Xencor, Inc.",280453,19,Bassil Dahiyat,5370295,Health Care
651,CG,The Carlyle Group Inc.,278833,152,Kewsong Lee,42322501,Financials
1266,ASTR,"Astra Space, Inc.",277011,159,Chris Kemp,43973670,Industrials
1126,NBIX,"Neurocrine Biosciences, Inc.",276598,51,Kevin Gorman,14081412,Health Care
736,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",275583,34,Jeffrey Eckel,9241605,Financials
1080,INVA,"Innoviva, Inc.",274407,5,Pavel Raifeld,1271138,Health Care
991,BCRX,"BioCryst Pharmaceuticals, Inc.",273522,26,Jon Stonehouse,7061225,Health Care
1133,NTLA,"Intellia Therapeutics, Inc.",272162,36,John Leonard,9773560,Health Care
1191,SRPT,"Sarepta Therapeutics, Inc.",271908,6,Douglas Ingram,1546324,Health Care
662,CNS,"Cohen & Steers, Inc.",271546,46,Robert Steers,12375738,Financials
2006,DRH,DiamondRock Hospitality Company,270418,32,Mark Brugger,8689374,Real Estate
2111,XHR,"Xenia Hotels & Resorts, Inc.",269348,26,Marcel Verbaas,6953315,Real Estate
1737,MVIS,"MicroVision, Inc.",269056,17,Sumit Sharma,4548622,Information Technology
1064,HRTX,"Heron Therapeutics, Inc.",268692,20,Barry Quart,5430828,Health Care
1761,PANW,"Palo Alto Networks, Inc.",268463,39,Nikesh Arora,10410477,Information Technology
1249,AL,Air Lease Corporation,268423,34,John Plueger,9148993,Industrials
1028,CYTK,"Cytokinetics, Incorporated",265164,29,Robert Blum,7604741,Health Care
872,SCU,"Sculptor Capital Management, Inc.",264087,552,James Levin,145788003,Financials
64,ROKU,"Roku, Inc.",262665,69,Anthony Wood,18133692,Communication Services
1805,SPLK,Splunk Inc.,260390,12,Graham Smith,3010388,Information Technology
782,MC,Moelis & Co.,259113,55,Kenneth Moelis,14358959,Financials
1018,CPRX,"Catalyst Pharmaceuticals, Inc.",257525,8,Patrick McEnany,2089432,Health Care
1148,PACB,"Pacific Biosciences of California, Inc.",257461,11,Christian Henry,2866931,Health Care
1646,DBX,"Dropbox, Inc.",257164,6,Andrew Houston,1515269,Information Technology
1579,AFRM,"Affirm Holdings, Inc.",255872,2,Max Levchin,478265,Information Technology
982,AUPH,Aurinia Pharmaceuticals Inc.,255489,5,Peter Greenleaf,1240389,Health Care
787,MFA,"MFA Financial, Inc.",254800,29,Craig Knutson,7411604,Financials
1176,RIGL,"Rigel Pharmaceuticals, Inc.",253532,14,Raul Rodriguez,3428041,Health Care
2024,GMRE,"Global Medical REIT, Inc.",252500,6,Jeffrey Busch,1506795,Real Estate
2090,STAG,"STAG Industrial, Inc.",251646,18,Benjamin Butcher,4449298,Real Estate
1681,FSLY,"Fastly, Inc.",250536,41,Joshua Bixby,10151110,Information Technology
1183,SGEN,Seagen Inc.,250158,76,Clay Siegall,18906444,Health Care
1722,MDB,"MongoDB, Inc.",249910,42,Dev Ittycheria,10566757,Information Technology
2068,PK,"Park Hotels & Resorts, Inc.",249093,38,Thomas Baltimore Jr.,9412399,Real Estate
1075,INCY,Incyte Corporation,248810,58,Herve Hoppenot,14444265,Health Care
1179,RVNC,"Revance Therapeutics, Inc.",248326,29,Mark Foley,7105916,Health Care
1085,IRWD,"Ironwood Pharmaceuticals, Inc.",248243,35,Thomas McCourt,8810004,Health Care
2001,DBRG,"DigitalBridge Group, Inc.",248105,91,Marc Ganzi,22459034,Real Estate
1599,AVGO,Broadcom Inc.,247541,245,Hock Tan,60703627,Information Technology
517,KOS,Kosmos Energy Ltd.,247115,25,Andrew Inglis,6237930,Energy
1211,TXG,"10X Genomics, Inc.",246380,47,Serge Saxonov,11700985,Health Care
1038,EGRX,"Eagle Pharmaceuticals, Inc.",246233,26,Scott Tarriff,6471521,Health Care
1086,ISEE,"IVERIC bio, Inc.",246224,24,Glenn Sblendorio,5987700,Health Care
1078,INSM,Insmed Incorporated,244933,30,William Lewis,7322642,Health Care
1173,RETA,"Reata Pharmaceuticals, Inc.",244581,16,J. Huff,4031773,Health Care
1165,PTCT,"PTC Therapeutics, Inc.",243357,45,Stuart Peltz,11022323,Health Care
2043,KW,"Kennedy-Wilson Holdings, Inc.",240000,67,William McMorrow,16197278,Real Estate
1654,DOCU,"DocuSign, Inc.",236617,87,Daniel Springer,20701048,Information Technology
925,VIRT,"Virtu Financial, Inc.",235000,43,Douglas Cifu,10107261,Financials
589,AMBC,"Ambac Financial Group, Inc.",234874,30,Claude LeBlanc,6979315,Financials
1103,LXRX,"Lexicon Pharmaceuticals, Inc.",234672,17,Lonnel Coats,3924090,Health Care
1225,VRTX,Vertex Pharmaceuticals Incorporated,234107,65,Reshma Kewalramani,15198856,Health Care
1745,NOW,"ServiceNow, Inc.",233859,709,William McDermott,165802037,Information Technology
928,VRTS,"Virtus Investment Partners, Inc.",233462,37,George Aylward,8614996,Financials
1766,PD,"PagerDuty, Inc.",232212,57,Jennifer Tejada,13268568,Information Technology
2023,GLPI,"Gaming & Leisure Properties, Inc.",231714,58,Peter Carlino,13407438,Real Estate
1741,NET,"Cloudflare, Inc.",231472,2,Matthew Prince,400000,Information Technology
170,ETSY,"Etsy, Inc.",231338,175,Josh Silverman,40584292,Consumer Discretionary
595,APAM,"Artisan Partners Asset Management, Inc.",231215,35,Eric Colson,8106549,Financials
962,ALNY,"Alnylam Pharmaceuticals, Inc.",231163,44,John Maraganore,10176685,Health Care
1044,ENTA,"Enanta Pharmaceuticals, Inc.",230731,23,Jay Luly,5293709,Health Care
2091,STAR,iStar Inc.,229832,10,Jay Sugarman,2327438,Real Estate
2025,GTY,Getty Realty Corp.,229236,8,Christopher Constant,1917849,Real Estate
813,NYMT,"New York Mortgage Trust, Inc.",229196,23,Steven Mumma,5384052,Financials
1665,ESTC,Elastic NV,227345,79,Ashutosh Kulkarni,17888070,Information Technology
1081,IONS,"Ionis Pharmaceuticals, Inc.",226222,59,Brett Monia,13305673,Health Care
629,BSIG,"BrightSphere Investment Group, Inc.",223527,57,Suren Rana,12700000,Financials
519,LNG,"Cheniere Energy, Inc.",221659,82,Jack Fusco,18091084,Energy
632,BX,"Blackstone, Inc.",220000,393,Stephen Schwarzman,86380331,Financials
1542,UPWK,"Upwork, Inc.",219635,159,Hayden Brown,34909304,Industrials
952,ACAD,ACADIA Pharmaceuticals Inc.,219387,45,Stephen Davis,9793288,Health Care
1053,GBIO,Generation Bio Co.,219002,27,C. McDonough,5885495,Health Care
1605,AYX,"Alteryx, Inc.",217877,63,Mark Anderson,13751007,Information Technology
1752,NVDA,NVIDIA Corporation,217542,109,Jen-Hsun Huang,23737661,Information Technology
1770,PLTR,"Palantir Technologies, Inc.",217522,21,Alexander Karp,4483614,Information Technology
1045,ESPR,"Esperion Therapeutics, Inc.",217116,36,Sheldon Koenig,7776226,Health Care
772,LAZ,Lazard Ltd,216902,54,Kenneth Jacobs,11777312,Financials
1070,ICPT,"Intercept Pharmaceuticals, Inc.",216748,36,Jerome Durso,7870354,Health Care
596,APO,"Apollo Global Management, Inc.",215817,1,Marc Rowan,302310,Financials
2046,LTC,"LTC Properties, Inc.",215663,19,Wendy Simpson,4204139,Real Estate
14,CDLX,"Cardlytics, Inc.",215408,31,Lynne Laube,6625395,Communication Services
628,BRSP,"BrightSpire Capital, Inc.",215119,26,Michael Mazzei,5670652,Financials
2082,SBRA,"Sabra Health Care REIT, Inc.",215071,28,Richard Matros,6091584,Real Estate
666,COWN,"Cowen, Inc.",215000,133,Jeffrey Solomon,28559540,Financials
911,TW,Tradeweb Markets Inc.,214407,69,Lee Olesky,14771567,Financials
1093,KPTI,"Karyopharm Therapeutics, Inc.",213593,39,Richard Paulson,8355172,Health Care
597,ARES,Ares Management Corporation,212902,333,Michael Arougheti,70842896,Financials
730,GLRE,"Greenlight Capital Re, Ltd.",212831,15,Simon Burton,3114210,Financials
1842,WDAY,"Workday, Inc.",212269,104,Luciano Fernandez,22015513,Information Technology
1090,JAZZ,Jazz Pharmaceuticals Plc,212134,74,Bruce Cozadd,15679311,Health Care
1055,GILD,"Gilead Sciences, Inc.",211687,91,Daniel O'Day,19229466,Health Care
865,SAMG,Silvercrest Asset Management Group Inc.,211000,16,Richard Hough III,3323449,Financials
762,JEF,Jefferies Financial Group Inc.,210171,137,Richard Handler,28872946,Financials
1578,AEVA,"Aeva Technologies, Inc.",208228,10,Soroush Dardashti,2013300,Information Technology
2009,EPR,EPR Properties,207476,40,Gregory Silvers,8276882,Real Estate
1748,NTAP,"NetApp, Inc.",206477,91,George Kurian,18883551,Information Technology
1672,FFIV,"F5, Inc.",206330,56,Francois Locoh-Donou,11469726,Information Technology
2030,HST,"Host Hotels & Resorts, Inc.",206292,56,James Risoleo,11520730,Real Estate
1008,CERS,Cerus Corporation,205935,25,William Greenman,5182371,Health Care
1079,INSP,"Inspire Medical Systems, Inc.",205859,6,Timothy Herbert,1272917,Health Care
1777,PSTG,"Pure Storage, Inc.",204641,48,Charles Giancarlo,9794382,Information Technology
744,HLI,"Houlihan Lokey, Inc.",204190,52,Scott Beiser,10650000,Financials
1698,INTU,Intuit Inc.,203814,133,Sasan Goodarzi,27174857,Information Technology
1742,NEWR,"New Relic, Inc.",203661,67,William Staples,13566010,Information Technology
2059,OHI,"Omega Healthcare Investors, Inc.",203435,51,C. Pickett,10374954,Real Estate
1682,FTNT,"Fortinet, Inc.",202875,70,Ken Xie,14203211,Information Technology
2083,SHO,"Sunstone Hotel Investors, Inc.",202697,14,Douglas Pasquale,2913754,Real Estate
92,ABNB,"Airbnb, Inc.",202541,1,Brian Chesky,132152,Consumer Discretionary
960,ALKS,Alkermes Plc,201944,44,Richard Pops,8846588,Health Care
53,NFLX,"Netflix, Inc.",201743,202,Reed Hastings,40823725,Communication Services
1839,VRSN,"VeriSign, Inc.",201444,50,D. Bidzos,10118313,Information Technology
2156,PCG,PG&E Corporation,201157,255,Patricia Poppe,51198471,Utilities
1151,PCRX,"Pacira Biosciences, Inc.",199797,35,David Stack,6942484,Health Care
1088,ITCI,"Intra-Cellular Therapies, Inc.",199300,36,Sharon Mates,7245943,Health Care
979,ATRA,"Atara Biotherapeutics, Inc.",199112,26,Pascal Touchon,5117335,Health Care
479,CDEV,Permian Resources Corp.,198914,44,Sean Smith,8677260,Energy
