,ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry
0,ATVI,"Activision Blizzard, Inc.","$117,207",7:1,Robert Kotick,"$826,549",Communication%20Services
1,CHTR,"Charter Communications, Inc.","$60,007",698:1,Thomas Rutledge,"$41,860,263",Communication%20Services
2,CMCSA,Comcast Corporation,"$83,840",405:1,Brian Roberts,"$33,978,581",Communication%20Services
3,DIS,The Walt Disney Company,"$50,430",644:1,Robert Chapek,"$32,464,293",Communication%20Services
4,DISCA,"Warner Bros. Discovery, Inc.","$82,964","2,972:1",David Zaslav,"$246,573,481",Communication%20Services
5,DISH,DISH Network Corporation,"$58,161",50:1,W. Carlson,"$2,895,882",Communication%20Services
6,EA,Electronic Arts Inc.,"$115,569",172:1,Andrew Wilson,"$19,858,539",Communication%20Services
7,FOXA,Fox Corporation,"$91,803",237:1,Lachlan Murdoch,"$21,748,681",Communication%20Services
8,GOOGL,Alphabet Inc.,"$295,884",21:1,Sundar Pichai,"$6,322,599",Communication%20Services
9,IPG,"The Interpublic Group of Companies, Inc.","$59,814",290:1,Philippe Krakowsky,"$17,371,647",Communication%20Services
10,LUMN,"Lumen Technologies, Inc.","$75,984",298:1,Jeffrey Storey,"$22,654,781",Communication%20Services
11,LYV,"Live Nation Entertainment, Inc.","$15,740",879:1,Michael Rapino,"$13,842,464",Communication%20Services
12,META,"Meta Platforms, Inc.","$292,785",92:1,Mark Zuckerberg,"$26,823,061",Communication%20Services
13,MTCH,"Match Group, Inc.","$106,881",238:1,Sharmistha Dubey,"$25,397,675",Communication%20Services
14,NFLX,"Netflix, Inc.","$201,743",202:1,Reed Hastings,"$40,823,725",Communication%20Services
15,NWSA,News Corporation,"$76,185",258:1,Robert Thomson,"$19,662,203",Communication%20Services
16,OMC,"Omnicom Group, Inc.","$50,612",395:1,John Wren,"$19,981,715",Communication%20Services
17,PARA,Paramount Global,"$94,580",212:1,Robert Bakish,"$20,035,212",Communication%20Services
18,T,AT&T Inc.,"$107,570",231:1,John Stankey,"$24,820,879",Communication%20Services
19,TMUS,"T-Mobile US, Inc.","$72,572",312:1,G. Sievert,"$22,610,659",Communication%20Services
20,TTWO,"Take-Two Interactive Software, Inc.","$70,096",2:1,Strauss Zelnick,"$142,996",Communication%20Services
21,VZ,Verizon Communications Inc.,"$122,492",166:1,Hans Vestberg,"$20,342,871",Communication%20Services
22,AAP,"Advance Auto Parts, Inc.","$24,960",403:1,Thomas Greco,"$10,052,271",Consumer%20Discretionary
23,AMZN,"Amazon.com, Inc.","$32,855","6,474:1",Andrew Jassy,"$212,701,169",Consumer%20Discretionary
24,APTV,Aptiv Plc,"$7,402","1,992:1",Kevin Clark,"$14,744,780",Consumer%20Discretionary
25,AZO,"AutoZone, Inc.","$31,751",451:1,William Rhodes III,"$14,330,010",Consumer%20Discretionary
26,BBWI,"Bath & Body Works, Inc.","$10,632","1,662:1",Andrew Meslow,"$17,668,627",Consumer%20Discretionary
27,BBY,"Best Buy Co., Inc.","$29,999",521:1,Corie Barry,"$15,631,157",Consumer%20Discretionary
28,BKNG,Booking Holdings Inc.,"$58,005",931:1,Glenn Fogel,"$53,982,195",Consumer%20Discretionary
29,BWA,BorgWarner Inc.,"$31,740",554:1,Frederic Lissalde,"$17,592,090",Consumer%20Discretionary
30,CCL,Carnival Corporation,"$8,658","1,740:1",Arnold Donald,"$15,063,788",Consumer%20Discretionary
31,CMG,"Chipotle Mexican Grill, Inc.","$15,811","1,131:1",Brian Niccol,"$17,880,580",Consumer%20Discretionary
32,CZR,"Caesars Entertainment, Inc.","$35,618",634:1,Thomas Reeg,"$22,576,517",Consumer%20Discretionary
33,DG,Dollar General Corporation,"$17,773",935:1,Todd Vasos,"$16,618,873",Consumer%20Discretionary
34,DHI,"D.R. Horton, Inc.","$116,088",259:1,David Auld,"$29,996,862",Consumer%20Discretionary
35,DLTR,"Dollar Tree, Inc.","$13,490",760:1,Michael Witynski,"$10,249,698",Consumer%20Discretionary
36,DPZ,"Domino's Pizza, Inc.","$17,782",401:1,Richard Allison,"$7,138,003",Consumer%20Discretionary
37,DRI,"Darden Restaurants, Inc.","$21,931",542:1,Eugene Lee Jr.,"$11,891,842",Consumer%20Discretionary
38,EBAY,eBay Inc.,"$135,528",160:1,Jamie Iannone,"$21,685,102",Consumer%20Discretionary
39,ETSY,"Etsy, Inc.","$231,338",175:1,Josh Silverman,"$40,584,292",Consumer%20Discretionary
40,EXPE,"Expedia Group, Inc.","$102,270","2,897:1",Peter Kern,"$296,247,749",Consumer%20Discretionary
41,F,Ford Motor Company,"$64,003",356:1,James Farley Jr.,"$22,813,174",Consumer%20Discretionary
42,GM,General Motors Company,"$69,433",420:1,Mary Barra,"$29,136,780",Consumer%20Discretionary
43,GPC,Genuine Parts Company,"$41,606",284:1,Paul Donahue,"$11,810,704",Consumer%20Discretionary
44,GRMN,Garmin Ltd.,"$38,118",111:1,Clifton Pemble,"$4,238,341",Consumer%20Discretionary
45,HAS,"Hasbro, Inc.","$82,787",38:1,Richard Stoddart,"$3,130,233",Consumer%20Discretionary
46,HD,"The Home Depot, Inc.","$28,697",455:1,Craig Menear,"$13,059,751",Consumer%20Discretionary
47,HLT,"Hilton Worldwide Holdings, Inc.","$36,915",631:1,Christopher Nassetta,"$23,285,248",Consumer%20Discretionary
48,KMX,"CarMax, Inc.","$51,674",265:1,William Nash,"$13,689,123",Consumer%20Discretionary
49,LEN,Lennar Corporation,"$101,561",335:1,Richard Beckwitt and Jonathan Jaffe,"$34,045,217",Consumer%20Discretionary
50,LKQ,LKQ Corporation,"$38,982",242:1,Dominick Zarcone,"$9,445,636",Consumer%20Discretionary
51,LOW,"Lowes Companies, Inc.","$22,697",787:1,Marvin Ellison,"$17,871,715",Consumer%20Discretionary
52,LVS,Las Vegas Sands Corp.,"$35,879",866:1,Robert G. Goldstein,"$31,204,900",Consumer%20Discretionary
53,MAR,"Marriott International, Inc.","$36,505",506:1,Anthony Capuano,"$18,391,882",Consumer%20Discretionary
54,MCD,McDonald's Corporation,"$8,897","2,251:1",Christopher Kempczinski,"$20,028,132",Consumer%20Discretionary
55,MGM,MGM Resorts International,"$34,988",379:1,William Hornbuckle,"$13,274,524",Consumer%20Discretionary
56,MHK,"Mohawk Industries, Inc.","$36,391",143:1,Jeffrey Lorberbaum,"$5,190,696",Consumer%20Discretionary
57,NCLH,Norwegian Cruise Line Holdings Ltd.,"$19,319","1,018:1",Frank Rio,"$19,668,768",Consumer%20Discretionary
58,NKE,"NIKE, Inc.","$37,410",771:1,John Donahoe II,"$28,838,060",Consumer%20Discretionary
59,NVR,"NVR, Inc.","$71,417",58:1,Paul Saville,"$4,162,400",Consumer%20Discretionary
60,NWL,"Newell Brands, Inc.","$33,913",337:1,Ravichandra Saligram,"$11,438,798",Consumer%20Discretionary
61,ORLY,"O'Reilly Automotive, Inc.","$28,113",454:1,Gregory Johnson,"$12,764,270",Consumer%20Discretionary
62,PHM,"PulteGroup, Inc.","$136,630",118:1,Ryan Marshall,"$16,149,555",Consumer%20Discretionary
63,POOL,Pool Corporation,"$61,709",90:1,Peter Arvan,"$5,575,384",Consumer%20Discretionary
64,RCL,Royal Caribbean Group,"$14,706","1,075:1",Richard Fain,"$15,812,027",Consumer%20Discretionary
65,RL,Ralph Lauren Corporation,"$26,670",696:1,Patrice Louvet,"$18,553,058",Consumer%20Discretionary
66,ROST,"Ross Stores, Inc.","$10,806","1,480:1",Barbara Rentler,"$15,989,635",Consumer%20Discretionary
67,SBUX,Starbucks Corporation,"$12,935","1,579:1",Kevin Johnson,"$20,425,162",Consumer%20Discretionary
68,TGT,Target Corporation,"$25,501",775:1,Brian Cornell,"$19,758,766",Consumer%20Discretionary
69,TJX,"The TJX Companies, Inc.","$14,139","2,249:1",Ernie Herrman,"$31,802,000",Consumer%20Discretionary
70,TPR,"Tapestry, Inc.","$29,147",471:1,Joanne Crevoiserat,"$13,739,426",Consumer%20Discretionary
71,TSCO,Tractor Supply Company,"$29,046",383:1,Harry Lawton III,"$11,117,251",Consumer%20Discretionary
72,ULTA,"Ulta Beauty, Inc.","$13,403",659:1,David Kimbell,"$8,539,767",Consumer%20Discretionary
73,VFC,VF Corp.,"$26,784",576:1,Steven Rendle,"$15,423,154",Consumer%20Discretionary
74,WHR,Whirlpool Corporation,"$27,128",692:1,Marc Bitzer,"$18,751,901",Consumer%20Discretionary
75,WYNN,"Wynn Resorts, Limited","$44,048",294:1,Matthew Maddox,"$12,928,747",Consumer%20Discretionary
76,YUM,"Yum! Brands, Inc.","$13,082","2,108:1",David Gibbs,"$27,578,659",Consumer%20Discretionary
77,ADM,Archer-Daniels-Midland Company,"$81,320",290:1,Juan Luciano,"$23,508,841",Consumer%20Staples
78,BF.B,Brown-Forman Corporation,"$61,040",137:1,Lawson Whiting,"$8,364,936",Consumer%20Staples
79,CAG,"Conagra Brands, Inc.","$57,855",206:1,Sean Connolly,"$11,947,054",Consumer%20Staples
80,CHD,"Church & Dwight Co., Inc.","$73,466",121:1,Matthew Farrell,"$8,889,526",Consumer%20Staples
81,CL,Colgate-Palmolive Company,"$40,469",382:1,Noel Wallace,"$15,458,151",Consumer%20Staples
82,CLX,The Clorox Company,"$63,866",134:1,Linda Rendle,"$8,534,808",Consumer%20Staples
83,COST,Costco Wholesale Corporation,"$45,450",218:1,W. Jelinek,"$9,905,070",Consumer%20Staples
84,CPB,Campbell Soup Company,"$64,277",160:1,Mark Clouse,"$10,277,065",Consumer%20Staples
85,EL,"The Estee Lauder Companies, Inc.","$29,236",872:1,Fabrizio Freda,"$25,480,056",Consumer%20Staples
86,GIS,"General Mills, Inc.","$62,454",196:1,Jeffrey Harmening,"$12,266,195",Consumer%20Staples
87,HRL,Hormel Foods Corporation,"$50,369",188:1,James Snee,"$9,478,102",Consumer%20Staples
88,HSY,The Hershey Company,"$36,149",447:1,Michele Buck,"$16,144,570",Consumer%20Staples
89,K,Kellogg Company,"$44,125",242:1,Steven Cahillane,"$10,678,337",Consumer%20Staples
90,KDP,Keurig Dr Pepper Inc.,"$55,207",141:1,Robert Gamgort,"$7,772,521",Consumer%20Staples
91,KHC,The Kraft Heinz Company,"$45,260",190:1,Miguel Patricio,"$8,605,599",Consumer%20Staples
92,KMB,Kimberly-Clark Corporation,"$42,749",281:1,Michael Hsu,"$12,009,162",Consumer%20Staples
93,KO,The Coca-Cola Company,"$13,894","1,791:1",James Quincey,"$24,883,878",Consumer%20Staples
94,KR,The Kroger Co.,"$26,763",679:1,W. McMullen,"$18,168,730",Consumer%20Staples
95,LW,"Lamb Weston Holdings, Inc.","$51,398",153:1,Thomas Werner,"$7,858,113",Consumer%20Staples
96,MDLZ,"Mondelez International, Inc.","$31,024",520:1,Dirk de Put,"$16,128,320",Consumer%20Staples
97,MKC,"McCormick & Company, Incorporated","$38,004",335:1,Lawrence Kurzius,"$12,718,656",Consumer%20Staples
98,MNST,Monster Beverage Corporation,"$69,417",241:1,Rodney Sacks,"$16,707,577",Consumer%20Staples
99,MO,"Altria Group, Inc.","$142,614",89:1,William Gifford Jr.,"$12,626,972",Consumer%20Staples
100,PEP,"PepsiCo, Inc.","$52,297",488:1,Ramon Laguarta,"$25,506,607",Consumer%20Staples
101,PG,The Procter & Gamble Company,"$65,918",273:1,Jon Moeller,"$17,716,015",Consumer%20Staples
102,PM,Philip Morris International Inc.,"$18,196","1,055:1",Jacek Olczak,"$10,557,568",Consumer%20Staples
103,SJM,The J. M. Smucker Company,"$86,742",98:1,Mark Smucker,"$8,511,639",Consumer%20Staples
104,STZ,"Constellation Brands, Inc.","$35,606",338:1,William Newlands,"$12,040,281",Consumer%20Staples
105,SYY,Sysco Corporation,"$83,737",163:1,Kevin Hourican,"$13,656,506",Consumer%20Staples
106,TAP,Molson Coors Beverage Company,"$77,432",106:1,Gavin Hattersley,"$8,234,680",Consumer%20Staples
107,TSN,"Tyson Foods, Inc.","$41,967",286:1,Donnie King,"$12,014,497",Consumer%20Staples
108,WBA,"Walgreens Boots Alliance, Inc.","$24,530",705:1,Rosalind Brewer,"$17,287,489",Consumer%20Staples
109,WMT,Walmart Inc.,"$25,335","1,013:1",C. McMillon,"$25,670,673",Consumer%20Staples
110,APA,APA Corp.,"$174,903",86:1,John Christmann,"$15,040,707",Energy
111,BKR,Baker Hughes Company,"$69,701",224:1,Lorenzo Simonelli,"$15,646,452",Energy
112,COP,ConocoPhillips,"$179,428",133:1,Ryan Lance,"$23,886,640",Energy
113,CTRA,Coterra Energy Inc.,"$91,440",131:1,Thomas Jorden,"$11,061,939",Energy
114,CVX,Chevron Corporation,"$183,531",123:1,Michael Wirth,"$22,610,285",Energy
115,DVN,Devon Energy Corporation,"$179,900",67:1,Richard Muncrief,"$11,914,547",Energy
116,EOG,"EOG Resources, Inc.","$185,838",51:1,Ezra Yacob,"$9,752,887",Energy
117,EQT,EQT Corporation,"$122,460",138:1,Toby Rice,"$16,919,763",Energy
118,FANG,"Diamondback Energy, Inc.","$108,354",128:1,Travis Stice,"$13,839,995",Energy
119,HAL,Halliburton Company,"$81,076",291:1,Jeffrey Miller,"$23,591,982",Energy
120,HES,Hess Corporation,"$197,547",63:1,John Hess,"$12,408,198",Energy
121,KMI,"Kinder Morgan, Inc.","$115,388",156:1,Steven Kean,"$18,000,259",Energy
122,MPC,Marathon Petroleum Corporation,"$148,850",142:1,Michael Hennigan,"$21,185,206",Energy
123,MRO,Marathon Oil Corporation,"$128,010",102:1,Lee Tillman,"$12,997,292",Energy
124,OXY,Occidental Petroleum Corporation,"$157,013",71:1,Vicki Hollub,"$11,068,539",Energy
125,PSX,Phillips 66,"$161,584",130:1,Greg Garland,"$20,953,206",Energy
126,PXD,Pioneer Natural Resources Company,"$166,480",96:1,Scott Sheffield,"$16,002,825",Energy
127,SLB,Schlumberger NV,"$66,138",254:1,Olivier Peuch,"$16,795,502",Energy
128,TRGP,Targa Resources Corp.,"$124,880",118:1,Matthew Meloy,"$14,691,940",Energy
129,VLO,Valero Energy Corporation,"$198,219",114:1,Joseph Gorder,"$22,684,706",Energy
130,WMB,"The Williams Companies, Inc.","$167,343",82:1,Alan Armstrong,"$13,759,533",Energy
131,XOM,Exxon Mobil Corporation,"$189,082",125:1,Darren Woods,"$23,572,488",Energy
132,ACGL,Arch Capital Group Ltd.,"$129,028",69:1,Marc Grandisson,"$9,336,013",Financials
133,AFL,Aflac Incorporated,"$65,458",240:1,Daniel Amos,"$15,728,233",Financials
134,AIG,"American International Group, Inc.","$71,936",305:1,Peter Zaffino,"$21,905,220",Financials
135,AIZ,"Assurant, Inc.","$44,558",258:1,Alan Colberg,"$11,504,780",Financials
136,AJG,Arthur J. Gallagher & Co.,"$64,135",216:1,J. Gallagher,"$13,882,255",Financials
137,ALL,The Allstate Corporation,"$62,235",306:1,Thomas Wilson,"$19,066,920",Financials
138,AMP,"Ameriprise Financial, Inc.","$129,010",165:1,James Cracchiolo,"$21,229,464",Financials
139,AON,Aon Plc,"$81,645",244:1,Gregory Case,"$19,868,384",Financials
