ticker,company_name,ceo_name,salary,industry
ADTH,"AdTheorent Holding Co., Inc.",James Lawson,"$5,929,933",Communication%20Services
ADV,"Advantage Solutions, Inc.",Tanya Domier,"$10,330,444",Communication%20Services
AMC,"AMC Entertainment Holdings, Inc.",Adam Aron,"$18,909,546",Communication%20Services
AMCX,AMC Networks Inc.,Matthew Blank,"$6,967,220",Communication%20Services
AREN,"The Arena Group Holdings, Inc.",Ross Levinsohn,"$10,727,473",Communication%20Services
ATEX,Anterix Inc.,Robert Schwartz,"$6,532,403",Communication%20Services
ATNI,"ATN International, Inc.",Michael Prior,"$3,379,851",Communication%20Services
ATUS,"Altice USA, Inc.",Dexter Goei,"$38,333,508",Communication%20Services
ATVI,"Activision Blizzard, Inc.",Robert Kotick,"$826,549",Communication%20Services
AUD,"Audacy, Inc.",David Field,"$2,511,305",Communication%20Services
BAND,Bandwidth Inc.,David Morken,"$3,384,684",Communication%20Services
BBIG,"Vinco Ventures, Inc.",Lisa King,"$64,167",Communication%20Services
BMBL,"Bumble, Inc.",Whitney Herd,"$1,125,200",Communication%20Services
BOC,Boston Omaha Corp.,Adam Peterson,"$7,935,393",Communication%20Services
CABO,"Cable One, Inc.",Julia Laulis,"$4,327,815",Communication%20Services
CARG,"Cargurus, Inc.",Jason Trevisan,"$19,211,250",Communication%20Services
CARS,"Cars.com, Inc.",T. Vetter,"$6,985,255",Communication%20Services
CCO,"Clear Channel Outdoor Holdings, Inc.",Christopher Eccleshare,"$6,234,771",Communication%20Services
CCOI,"Cogent Communications Holdings, Inc.",David Schaeffer,"$11,504,458",Communication%20Services
CDLX,"Cardlytics, Inc.",Lynne Laube,"$6,625,395",Communication%20Services
CHTR,"Charter Communications, Inc.",Thomas Rutledge,"$41,860,263",Communication%20Services
CMCSA,Comcast Corporation,Brian Roberts,"$33,978,581",Communication%20Services
CMLS,"Cumulus Media, Inc.",Mary Berner,"$6,583,169",Communication%20Services
CNK,"Cinemark Holdings, Inc.",Mark Zoradi,"$7,553,272",Communication%20Services
CNSL,"Consolidated Communications Holdings, Inc.",C. Udell,"$4,671,543",Communication%20Services
CRGE,"Charge Enterprises, Inc.",Andrew Fox,"$759,867",Communication%20Services
DHX,"DHI Group, Inc.",Art Zeile,"$2,702,822",Communication%20Services
DIS,The Walt Disney Company,Robert Chapek,"$32,464,293",Communication%20Services
DISCA,"Warner Bros. Discovery, Inc.",David Zaslav,"$246,573,481",Communication%20Services
DISH,DISH Network Corporation,W. Carlson,"$2,895,882",Communication%20Services
DJCO,Daily Journal Corporation,Gerald Salzman,"$1,353,000",Communication%20Services
EA,Electronic Arts Inc.,Andrew Wilson,"$19,858,539",Communication%20Services
EB,"Eventbrite, Inc.",Julia Hartz,"$6,500,718",Communication%20Services
EVC,Entravision Communications Corporation,Walter Ulloa,"$6,442,220",Communication%20Services
EVER,"EverQuote, Inc.",Jayme Mendal,"$1,418,565",Communication%20Services
FOXA,Fox Corporation,Lachlan Murdoch,"$21,748,681",Communication%20Services
FUBO,fuboTV Inc.,David Gandler,"$6,479,897",Communication%20Services
FWONA,Liberty Media Corp.,Gregory Maffei,"$21,575,769",Communication%20Services
FYBR,"Frontier Communications Parent, Inc.",Nick Jeffery,"$17,209,584",Communication%20Services
GCI,"Gannett Co., Inc.",Michael Reed,"$7,741,052",Communication%20Services
GOGO,Gogo Inc.,Oakleigh Thorne,"$3,345,530",Communication%20Services
GOOGL,Alphabet Inc.,Sundar Pichai,"$6,322,599",Communication%20Services
GSAT,"Globalstar, Inc.",David Kagan,"$871,997",Communication%20Services
GTN,"Gray Television, Inc.",Hilton Howell Jr.,"$11,515,178",Communication%20Services
IAC,"IAC, Inc.",Joseph Levin,"$5,365,063",Communication%20Services
IAS,Integral Ad Science Holding Corp.,Lisa Utzschneider,"$35,782,332",Communication%20Services
IDT,IDT Corporation,Shmuel Jonas,"$1,027,500",Communication%20Services
IHRT,"iHeartMedia, Inc.",Robert Pittman,"$8,768,653",Communication%20Services
IMAX,IMAX Corporation,Richard Gelfond,"$9,081,442",Communication%20Services
IPG,"The Interpublic Group of Companies, Inc.",Philippe Krakowsky,"$17,371,647",Communication%20Services
IRDM,Iridium Communications Inc.,Matthew Desch,"$5,402,931",Communication%20Services
LBRDK,Liberty Broadband Corp.,Gregory Maffei,"$18,018,126",Communication%20Services
LFLY,"Leafly Holdings, Inc.",Yoko Miyashita,"$1,656,206",Communication%20Services
LGF.A,Lions Gate Entertainment Corp.,Jon Feltheimer,"$5,585,412",Communication%20Services
LILAK,Liberty Latin America Ltd.,Balan Nair,"$37,576,803",Communication%20Services
LUMN,"Lumen Technologies, Inc.",Jeffrey Storey,"$22,654,781",Communication%20Services
LYLT,"Loyalty Ventures, Inc.",Charles Horn,"$3,275,892",Communication%20Services
LYV,"Live Nation Entertainment, Inc.",Michael Rapino,"$13,842,464",Communication%20Services
MAX,"MediaAlpha, Inc.",Steven Yi,"$1,018,780",Communication%20Services
MCS,The Marcus Corporation,Gregory Marcus,"$3,834,147",Communication%20Services
META,"Meta Platforms, Inc.",Mark Zuckerberg,"$26,823,061",Communication%20Services
MGNI,"Magnite, Inc.",Michael Barrett,"$18,291,589",Communication%20Services
