ticker,company_name,ceo_name,salary,industry
ATVI,"Activision Blizzard, Inc.",Robert Kotick,"$826,549",Communication%20Services
CHTR,"Charter Communications, Inc.",Thomas Rutledge,"$41,860,263",Communication%20Services
CMCSA,Comcast Corporation,Brian Roberts,"$33,978,581",Communication%20Services
DIS,The Walt Disney Company,Robert Chapek,"$32,464,293",Communication%20Services
DISCA,"Warner Bros. Discovery, Inc.",David Zaslav,"$246,573,481",Communication%20Services
DISH,DISH Network Corporation,W. Carlson,"$2,895,882",Communication%20Services
EA,Electronic Arts Inc.,Andrew Wilson,"$19,858,539",Communication%20Services
FOXA,Fox Corporation,Lachlan Murdoch,"$21,748,681",Communication%20Services
GOOGL,Alphabet Inc.,Sundar Pichai,"$6,322,599",Communication%20Services
IPG,"The Interpublic Group of Companies, Inc.",Philippe Krakowsky,"$17,371,647",Communication%20Services
LUMN,"Lumen Technologies, Inc.",Jeffrey Storey,"$22,654,781",Communication%20Services
LYV,"Live Nation Entertainment, Inc.",Michael Rapino,"$13,842,464",Communication%20Services
META,"Meta Platforms, Inc.",Mark Zuckerberg,"$26,823,061",Communication%20Services
MTCH,"Match Group, Inc.",Sharmistha Dubey,"$25,397,675",Communication%20Services
NFLX,"Netflix, Inc.",Reed Hastings,"$40,823,725",Communication%20Services
NWSA,News Corporation,Robert Thomson,"$19,662,203",Communication%20Services
OMC,"Omnicom Group, Inc.",John Wren,"$19,981,715",Communication%20Services
PARA,Paramount Global,Robert Bakish,"$20,035,212",Communication%20Services
T,AT&T Inc.,John Stankey,"$24,820,879",Communication%20Services
TMUS,"T-Mobile US, Inc.",G. Sievert,"$22,610,659",Communication%20Services
TTWO,"Take-Two Interactive Software, Inc.",Strauss Zelnick,"$142,996",Communication%20Services
VZ,Verizon Communications Inc.,Hans Vestberg,"$20,342,871",Communication%20Services
AAP,"Advance Auto Parts, Inc.",Thomas Greco,"$10,052,271",Consumer%20Discretionary
AMZN,"Amazon.com, Inc.",Andrew Jassy,"$212,701,169",Consumer%20Discretionary
APTV,Aptiv Plc,Kevin Clark,"$14,744,780",Consumer%20Discretionary
AZO,"AutoZone, Inc.",William Rhodes III,"$14,330,010",Consumer%20Discretionary
BBWI,"Bath & Body Works, Inc.",Andrew Meslow,"$17,668,627",Consumer%20Discretionary
BBY,"Best Buy Co., Inc.",Corie Barry,"$15,631,157",Consumer%20Discretionary
BKNG,Booking Holdings Inc.,Glenn Fogel,"$53,982,195",Consumer%20Discretionary
BWA,BorgWarner Inc.,Frederic Lissalde,"$17,592,090",Consumer%20Discretionary
CCL,Carnival Corporation,Arnold Donald,"$15,063,788",Consumer%20Discretionary
CMG,"Chipotle Mexican Grill, Inc.",Brian Niccol,"$17,880,580",Consumer%20Discretionary
CZR,"Caesars Entertainment, Inc.",Thomas Reeg,"$22,576,517",Consumer%20Discretionary
DG,Dollar General Corporation,Todd Vasos,"$16,618,873",Consumer%20Discretionary
DHI,"D.R. Horton, Inc.",David Auld,"$29,996,862",Consumer%20Discretionary
DLTR,"Dollar Tree, Inc.",Michael Witynski,"$10,249,698",Consumer%20Discretionary
DPZ,"Domino's Pizza, Inc.",Richard Allison,"$7,138,003",Consumer%20Discretionary
DRI,"Darden Restaurants, Inc.",Eugene Lee Jr.,"$11,891,842",Consumer%20Discretionary
EBAY,eBay Inc.,Jamie Iannone,"$21,685,102",Consumer%20Discretionary
ETSY,"Etsy, Inc.",Josh Silverman,"$40,584,292",Consumer%20Discretionary
EXPE,"Expedia Group, Inc.",Peter Kern,"$296,247,749",Consumer%20Discretionary
F,Ford Motor Company,James Farley Jr.,"$22,813,174",Consumer%20Discretionary
GM,General Motors Company,Mary Barra,"$29,136,780",Consumer%20Discretionary
GPC,Genuine Parts Company,Paul Donahue,"$11,810,704",Consumer%20Discretionary
GRMN,Garmin Ltd.,Clifton Pemble,"$4,238,341",Consumer%20Discretionary
HAS,"Hasbro, Inc.",Richard Stoddart,"$3,130,233",Consumer%20Discretionary
HD,"The Home Depot, Inc.",Craig Menear,"$13,059,751",Consumer%20Discretionary
HLT,"Hilton Worldwide Holdings, Inc.",Christopher Nassetta,"$23,285,248",Consumer%20Discretionary
KMX,"CarMax, Inc.",William Nash,"$13,689,123",Consumer%20Discretionary
LEN,Lennar Corporation,Richard Beckwitt and Jonathan Jaffe,"$34,045,217",Consumer%20Discretionary
LKQ,LKQ Corporation,Dominick Zarcone,"$9,445,636",Consumer%20Discretionary
LOW,"Lowes Companies, Inc.",Marvin Ellison,"$17,871,715",Consumer%20Discretionary
LVS,Las Vegas Sands Corp.,Robert G. Goldstein,"$31,204,900",Consumer%20Discretionary
MAR,"Marriott International, Inc.",Anthony Capuano,"$18,391,882",Consumer%20Discretionary
MCD,McDonald's Corporation,Christopher Kempczinski,"$20,028,132",Consumer%20Discretionary
MGM,MGM Resorts International,William Hornbuckle,"$13,274,524",Consumer%20Discretionary
MHK,"Mohawk Industries, Inc.",Jeffrey Lorberbaum,"$5,190,696",Consumer%20Discretionary
NCLH,Norwegian Cruise Line Holdings Ltd.,Frank Rio,"$19,668,768",Consumer%20Discretionary
NKE,"NIKE, Inc.",John Donahoe II,"$28,838,060",Consumer%20Discretionary
NVR,"NVR, Inc.",Paul Saville,"$4,162,400",Consumer%20Discretionary
NWL,"Newell Brands, Inc.",Ravichandra Saligram,"$11,438,798",Consumer%20Discretionary
ORLY,"O'Reilly Automotive, Inc.",Gregory Johnson,"$12,764,270",Consumer%20Discretionary
PHM,"PulteGroup, Inc.",Ryan Marshall,"$16,149,555",Consumer%20Discretionary
POOL,Pool Corporation,Peter Arvan,"$5,575,384",Consumer%20Discretionary
RCL,Royal Caribbean Group,Richard Fain,"$15,812,027",Consumer%20Discretionary
RL,Ralph Lauren Corporation,Patrice Louvet,"$18,553,058",Consumer%20Discretionary
ROST,"Ross Stores, Inc.",Barbara Rentler,"$15,989,635",Consumer%20Discretionary
SBUX,Starbucks Corporation,Kevin Johnson,"$20,425,162",Consumer%20Discretionary
TGT,Target Corporation,Brian Cornell,"$19,758,766",Consumer%20Discretionary
TJX,"The TJX Companies, Inc.",Ernie Herrman,"$31,802,000",Consumer%20Discretionary
TPR,"Tapestry, Inc.",Joanne Crevoiserat,"$13,739,426",Consumer%20Discretionary
TSCO,Tractor Supply Company,Harry Lawton III,"$11,117,251",Consumer%20Discretionary
TSLA,"Tesla, Inc.",Elon Musk,$0,Consumer%20Discretionary
ULTA,"Ulta Beauty, Inc.",David Kimbell,"$8,539,767",Consumer%20Discretionary
VFC,VF Corp.,Steven Rendle,"$15,423,154",Consumer%20Discretionary
WHR,Whirlpool Corporation,Marc Bitzer,"$18,751,901",Consumer%20Discretionary
WYNN,"Wynn Resorts, Limited",Matthew Maddox,"$12,928,747",Consumer%20Discretionary
